Date,Time,Open,High,Low,Close
20181109,00:00:00,2805.1,2810.1,2763.7,2778.0
20181111,00:00:00,2777.1,2778.7,2773.0,2777.5
20181112,00:00:00,2777.5,2794.5,2721.6,2728.2
20181113,00:00:00,2728.2,2755.1,2714.5,2734.7
20181114,00:00:00,2734.7,2747.3,2685.1,2695.0
20181115,00:00:00,2694.8,2735.7,2669.4,2725.1
20181116,00:00:00,2724.9,2747.4,2707.4,2740.7
20181118,00:00:00,2731.6,2733.1,2727.4,2732.1
20181119,00:00:00,2732.0,2746.6,2680.7,2690.4
20181120,00:00:00,2690.4,2692.6,2630.8,2635.2
20181121,00:00:00,2635.5,2669.8,2635.0,2651.0
20181122,00:00:00,2651.0,2655.6,2627.5,2640.5
20181123,00:00:00,2640.8,2647.4,2625.5,2628.6
20181125,00:00:00,2632.5,2638.7,2631.2,2637.6
20181126,00:00:00,2637.7,2675.7,2635.5,2661.2
20181127,00:00:00,2661.1,2687.5,2655.0,2685.0
20181128,00:00:00,2684.8,2744.2,2680.5,2738.2
20181129,00:00:00,2738.2,2753.7,2722.7,2739.2
20181130,00:00:00,2738.9,2763.6,2727.9,2763.1
20181202,00:00:00,2794.9,2808.6,2794.9,2802.1
20181203,00:00:00,2802.4,2812.9,2772.9,2785.0
20181204,00:00:00,2785.3,2786.3,2696.4,2708.6
20181205,00:00:00,2708.6,2720.1,2648.7,2682.9
20181206,00:00:00,2682.9,2698.1,2620.7,2694.4
20181207,00:00:00,2694.4,2708.3,2622.7,2634.1
20181209,00:00:00,2626.8,2628.8,2609.6,2613.8
20181210,00:00:00,2613.8,2647.6,2582.3,2636.4
20181211,00:00:00,2636.6,2676.9,2620.7,2637.9
20181212,00:00:00,2637.9,2685.5,2633.4,2657.0
20181213,00:00:00,2656.7,2670.2,2636.7,2644.9
20181214,00:00:00,2645.4,2647.6,2593.6,2601.3
20181216,00:00:00,2593.2,2604.9,2592.9,2604.2
20181217,00:00:00,2604.2,2612.7,2530.0,2558.7
20181218,00:00:00,2558.7,2573.9,2528.1,2539.8
20181219,00:00:00,2539.8,2585.6,2487.6,2508.0
20181220,00:00:00,2508.0,2514.8,2440.3,2480.8
20181221,00:00:00,2480.5,2506.4,2407.6,2410.6
20181223,00:00:00,2401.1,2420.0,2400.0,2415.0
20181224,00:00:00,2414.9,2432.3,2338.6,2340.1
20181225,00:00:00,2347.4,2348.4,2314.8,2343.5
20181226,00:00:00,2344.0,2477.2,2323.0,2461.8
20181227,00:00:00,2462.3,2498.2,2397.3,2482.4
20181228,00:00:00,2482.6,2522.1,2472.5,2486.3
20181230,00:00:00,2497.1,2506.3,2496.6,2499.8
20181231,00:00:00,2499.8,2512.1,2482.2,2507.6
20190101,00:00:00,2506.8,2520.1,2505.6,2516.3
20190102,00:00:00,2516.6,2520.3,2451.6,2473.7
20190103,00:00:00,2473.7,2492.3,2443.3,2449.3
20190104,00:00:00,2449.3,2538.1,2438.3,2529.8
20190106,00:00:00,2534.8,2537.5,2531.6,2537.0
20190107,00:00:00,2537.0,2566.8,2522.8,2549.9
20190108,00:00:00,2549.9,2580.2,2547.2,2575.8
20190109,00:00:00,2575.8,2595.7,2567.9,2576.6
20190110,00:00:00,2576.5,2598.3,2559.3,2590.1
20190111,00:00:00,2590.6,2596.6,2576.4,2594.4
20190113,00:00:00,2589.2,2591.2,2582.4,2582.7
20190114,00:00:00,2582.9,2589.0,2566.7,2582.4
20190115,00:00:00,2582.2,2613.3,2579.7,2610.0
20190116,00:00:00,2610.0,2625.9,2601.7,2610.7
20190117,00:00:00,2611.0,2645.3,2595.5,2633.4
20190118,00:00:00,2632.9,2676.1,2632.7,2670.9
20190120,00:00:00,2670.0,2672.8,2666.8,2667.8
20190121,00:00:00,2667.6,2668.8,2655.4,2662.4
20190122,00:00:00,2662.7,2665.4,2616.1,2630.5
20190123,00:00:00,2630.2,2653.3,2612.6,2633.2
20190124,00:00:00,2632.9,2647.2,2626.5,2638.5
20190125,00:00:00,2638.3,2672.8,2636.5,2663.5
20190127,00:00:00,2663.1,2663.8,2658.3,2659.3
20190128,00:00:00,2659.3,2661.3,2623.4,2636.7
20190129,00:00:00,2636.7,2651.5,2629.7,2645.5
20190130,00:00:00,2645.3,2691.0,2637.3,2687.9
20190131,00:00:00,2687.9,2710.0,2676.2,2705.2
20190201,00:00:00,2705.2,2716.8,2696.3,2705.4
20190203,00:00:00,2700.5,2704.9,2698.9,2703.7
20190204,00:00:00,2703.9,2725.9,2697.8,2720.7
20190205,00:00:00,2720.5,2739.5,2717.5,2732.6
20190206,00:00:00,2732.4,2737.5,2724.0,2729.4
20190207,00:00:00,2729.7,2729.9,2686.8,2698.3
20190208,00:00:00,2698.1,2709.1,2681.6,2706.6
20190210,00:00:00,2712.6,2712.8,2706.9,2706.9
20190211,00:00:00,2707.1,2722.1,2701.1,2708.8
20190212,00:00:00,2709.1,2748.2,2708.3,2746.8
20190213,00:00:00,2746.5,2761.9,2746.0,2749.7
20190214,00:00:00,2750.0,2762.0,2729.6,2742.9
20190215,00:00:00,2742.9,2777.4,2728.9,2776.9
20190217,00:00:00,2780.4,2782.3,2776.4,2778.6
20190218,00:00:00,2778.6,2780.4,2773.4,2775.7
20190219,00:00:00,2775.7,2787.6,2765.9,2777.9
20190220,00:00:00,2777.9,2790.2,2772.7,2785.2
20190221,00:00:00,2785.4,2797.2,2764.2,2774.5
20190222,00:00:00,2774.5,2794.2,2770.8,2791.2
20190224,00:00:00,2799.2,2802.7,2797.2,2799.9
20190225,00:00:00,2800.2,2813.3,2791.0,2793.7
20190226,00:00:00,2793.9,2802.8,2782.7,2788.1
20190227,00:00:00,2788.3,2795.7,2774.8,2793.4
20190228,00:00:00,2793.4,2793.6,2780.7,2784.7
20190301,00:00:00,2784.7,2807.8,2784.4,2804.2
20190303,00:00:00,2812.6,2819.1,2811.1,2816.6
20190304,00:00:00,2816.6,2817.6,2766.9,2790.4
20190305,00:00:00,2790.6,2798.4,2783.0,2785.7
20190306,00:00:00,2785.7,2791.7,2766.0,2767.2
20190307,00:00:00,2767.2,2775.2,2738.5,2750.7
20190308,00:00:00,2750.5,2751.0,2721.8,2747.2
20190310,00:00:00,2744.2,2748.2,2742.2,2743.4
20190311,00:00:00,2743.2,2793.4,2736.7,2791.1
20190312,00:00:00,2791.1,2797.9,2779.9,2790.4
20190313,00:00:00,2790.7,2821.2,2782.9,2813.5
20190314,00:00:00,2813.8,2819.0,2802.6,2808.9
20190315,00:00:00,2809.4,2831.2,2808.9,2824.8
20190317,00:00:00,2823.1,2823.3,2820.1,2821.6
20190318,00:00:00,2821.3,2837.3,2818.8,2835.5
20190319,00:00:00,2835.5,2852.6,2822.9,2828.6
20190320,00:00:00,2828.6,2843.2,2811.2,2823.0
20190321,00:00:00,2823.2,2860.6,2808.0,2856.3
20190322,00:00:00,2856.8,2859.0,2800.4,2805.8
20190324,00:00:00,2809.4,2813.3,2804.0,2805.8
20190325,00:00:00,2806.0,2809.7,2784.2,2804.8
20190326,00:00:00,2804.6,2829.7,2803.4,2817.5
20190327,00:00:00,2817.8,2826.5,2787.1,2801.1
20190328,00:00:00,2801.1,2824.2,2789.8,2822.5
20190329,00:00:00,2822.7,2836.1,2817.7,2835.5
20190331,00:00:00,2841.9,2849.0,2841.5,2848.2
20190401,00:00:00,2848.2,2869.1,2847.7,2867.1
20190402,00:00:00,2867.4,2869.6,2858.2,2862.8
20190403,00:00:00,2862.8,2885.1,2861.3,2874.3
20190404,00:00:00,2874.3,2881.6,2866.9,2876.9
20190405,00:00:00,2876.9,2893.4,2876.4,2892.4
20190407,00:00:00,2892.8,2895.2,2891.9,2893.7
20190408,00:00:00,2893.7,2895.7,2880.3,2893.1
20190409,00:00:00,2893.4,2895.4,2873.2,2877.1
20190410,00:00:00,2877.1,2893.9,2873.6,2892.7
20190411,00:00:00,2892.7,2895.2,2881.7,2890.2
20190412,00:00:00,2890.7,2910.3,2887.2,2907.9
20190414,00:00:00,2907.6,2908.8,2905.3,2906.6
20190415,00:00:00,2906.6,2909.6,2896.1,2905.6
20190416,00:00:00,2905.9,2916.6,2900.5,2905.7
20190417,00:00:00,2905.7,2918.8,2894.9,2899.5
20190418,00:00:00,2899.5,2908.2,2885.7,2907.1
20190421,00:00:00,2905.6,2911.4,2905.3,2908.2
20190422,00:00:00,2908.0,2910.7,2895.6,2909.4
20190423,00:00:00,2909.4,2936.4,2904.6,2935.6
20190424,00:00:00,2935.8,2936.4,2925.7,2929.1
20190425,00:00:00,2929.1,2933.1,2911.5,2920.7
20190426,00:00:00,2920.7,2940.2,2915.0,2939.5
20190428,00:00:00,2937.5,2939.7,2937.2,2938.0
20190429,00:00:00,2938.2,2949.2,2935.5,2938.7
20190430,00:00:00,2939.0,2952.9,2924.1,2952.5
20190501,00:00:00,2952.7,2958.7,2913.6,2918.9
20190502,00:00:00,2918.9,2931.6,2900.1,2918.1
20190503,00:00:00,2917.8,2947.5,2915.3,2946.3
20190505,00:00:00,2905.9,2908.4,2891.4,2893.6
20190506,00:00:00,2894.1,2937.4,2882.1,2917.3
20190507,00:00:00,2917.6,2929.8,2862.1,2884.4
20190508,00:00:00,2884.6,2898.6,2868.4,2880.0
20190509,00:00:00,2880.0,2882.2,2835.7,2872.4
20190510,00:00:00,2872.4,2891.7,2824.7,2885.2
20190512,00:00:00,2861.0,2867.1,2855.1,2855.3
20190513,00:00:00,2855.3,2859.3,2798.3,2802.0
20190514,00:00:00,2801.8,2852.4,2801.5,2840.3
20190515,00:00:00,2840.1,2858.6,2813.3,2850.0
20190516,00:00:00,2849.8,2892.1,2838.4,2879.5
20190517,00:00:00,2879.8,2885.7,2850.5,2860.6
20190519,00:00:00,2860.1,2871.1,2860.1,2868.8
20190520,00:00:00,2869.1,2874.8,2830.9,2848.0
20190521,00:00:00,2848.2,2868.7,2844.7,2865.6
20190522,00:00:00,2865.3,2867.8,2846.8,2852.7
20190523,00:00:00,2852.9,2853.7,2805.3,2822.3
20190524,00:00:00,2822.3,2840.9,2819.9,2830.8
20190526,00:00:00,2831.0,2833.8,2828.3,2829.5
20190527,00:00:00,2829.6,2837.8,2825.3,2832.1
20190528,00:00:00,2832.3,2840.1,2799.8,2803.7
20190529,00:00:00,2803.7,2804.5,2765.3,2781.0
20190530,00:00:00,2781.0,2798.3,2764.1,2765.3
20190531,00:00:00,2765.6,2775.1,2749.4,2751.7
20190602,00:00:00,2743.4,2743.4,2731.7,2735.4
20190603,00:00:00,2735.2,2763.0,2728.7,2750.5
20190604,00:00:00,2750.8,2812.2,2743.5,2811.2
20190605,00:00:00,2811.2,2827.2,2800.3,2820.9
20190606,00:00:00,2820.8,2852.2,2820.0,2843.2
20190607,00:00:00,2843.4,2885.0,2840.7,2873.8
20190609,00:00:00,2893.7,2894.7,2885.8,2886.1
20190610,00:00:00,2886.1,2904.9,2879.3,2885.7
20190611,00:00:00,2885.7,2910.3,2878.5,2884.4
20190612,00:00:00,2884.4,2889.9,2874.4,2883.7
20190613,00:00:00,2883.7,2894.8,2865.7,2889.6
20190614,00:00:00,2889.9,2897.1,2879.0,2889.1
20190616,00:00:00,2890.4,2896.1,2889.9,2894.1
20190617,00:00:00,2894.3,2899.1,2886.7,2890.8
20190618,00:00:00,2891.0,2931.2,2883.5,2923.3
20190619,00:00:00,2923.3,2937.4,2910.3,2935.6
20190620,00:00:00,2935.6,2958.6,2931.1,2952.5
20190621,00:00:00,2952.5,2964.1,2942.8,2945.8
20190623,00:00:00,2944.8,2951.3,2944.0,2950.3
20190624,00:00:00,2950.3,2956.5,2943.9,2947.3
20190625,00:00:00,2947.5,2953.0,2912.5,2916.0
20190626,00:00:00,2916.0,2934.0,2910.0,2913.5
20190627,00:00:00,2913.8,2932.7,2912.5,2931.5
20190628,00:00:00,2931.7,2950.7,2925.7,2950.2
20190630,00:00:00,2965.2,2973.0,2964.2,2967.0
20190701,00:00:00,2967.1,2977.6,2951.5,2959.7
20190702,00:00:00,2959.9,2976.6,2954.5,2974.0
20190703,00:00:00,2973.7,3000.2,2970.0,2995.9
20190704,00:00:00,2995.7,3000.0,2993.7,2998.6
20190705,00:00:00,2998.6,2999.9,2967.5,2986.9
20190707,00:00:00,2990.2,2990.9,2984.9,2985.2
20190708,00:00:00,2985.2,2985.7,2969.7,2971.0
20190709,00:00:00,2971.0,2981.9,2959.0,2977.6
20190710,00:00:00,2977.8,3003.2,2967.1,2993.0
20190711,00:00:00,2993.0,3002.2,2988.7,3001.2
20190712,00:00:00,3001.2,3013.7,3000.7,3010.6
20190714,00:00:00,3010.8,3012.6,3008.6,3009.1
20190715,00:00:00,3009.1,3019.3,3006.6,3015.4
20190716,00:00:00,3015.4,3017.4,3000.3,3002.6
20190717,00:00:00,3002.6,3008.9,2977.0,2978.2
20190718,00:00:00,2978.2,3006.6,2970.7,2997.4
20190719,00:00:00,2997.6,3006.6,2973.8,2974.6
20190721,00:00:00,2972.0,2977.5,2969.7,2976.2
20190722,00:00:00,2976.5,2991.0,2971.6,2986.9
20190723,00:00:00,2987.1,3005.9,2985.1,3003.2
20190724,00:00:00,3003.0,3019.9,2993.7,3018.9
20190725,00:00:00,3018.9,3025.4,2996.8,3007.3
20190726,00:00:00,3007.5,3028.1,3006.3,3022.5
20190728,00:00:00,3022.0,3024.3,3021.5,3022.0
20190729,00:00:00,3021.8,3025.8,3014.4,3022.8
20190730,00:00:00,3023.0,3025.8,3000.1,3014.5
